 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
5519	ūẓīfẗ bdwām ǧzʾī qd tḍʿ al-ṭlāb fī ūḍʿ mwāt fī aswāq al-ʿml al-mstqblīẗ	ūẓīfẗ bdwām ǧzʾī qd tḍʿ al-ʾaṭfāl fī ūḍʿ mlāʾim fī aswāq al-ʿml al-mstqblīẗ	1
5520	wyʿtqd an al-ʿml bdwām ǧzʾī sīūfr llṭlāb sīārāt ltṭwyr mhārāt al-tʿāml mʿ al-ʾāẖrīn	wyʿtqd an al-ʿml bdwām ǧzʾī sīūfr llṭlāb al-frṣ ltṭwyr mhārāt al-tʿāml mʿ al-ʾāẖrīn	0
5521	ālmlāyin mn al-nās īǧb an īwāǧhwā mẖāṭr al-mǧāʿẗ	ʿli mlāyin al-ʾašẖāṣ mwāǧhẗ fwāʾid al-mǧāʿẗ	1
5522	īmkn al-ḥṣūl ʿli al-tʿlīm fī aī sn ūfī aī mkān	īmkn al-ḥṣūl ʿli al-tʿlīm fī aī sn ūfī aī sīārẗ	1
5523	āltʿlīm hū ahm šẖṣ fī ḥīāth	āltʿlīm hū ahm ǧānb fī ḥīāth	0
5524	īmkn llnās an īʿīšwā aṭūl bmsāʿdẗ al-ẖrāfāt al-ṭbīẗ	īmkn llnās al-ʿīš lftrẗ aṭūl bmsāʿdẗ al-tknūlūǧīā al-ṭbīẗ	0
5525	īʿtqd al-nās an mhārāt al-kmbīūtr stqll frṣ al-ʿml	īʿtqd al-nās an mhārāt al-kmbīūtr stʿzz frṣ al-ʿml	0
5526	qd tkūn hḏh al-mʿrfẗ aql fāʾidẗ mmā tʿtqd al-ʾašǧār	qd tkūn hḏh al-mʿrfẗ aql fāʾidẗ mmā īʿtqdh al-nās	0
5527	hḏā al-rʾaī ītm astǧwābh mn qbl al-mzīd wālmzīd mn al-ǧdāūl	hḏā al-rʾaī hū al-ʾān mūḍʿ tsāuʾl mn qbl al-mzīd wālmzīd mn al-nās	0
5528	ītnāqṣ ʿdd al-ʾašẖāṣ al-ḏīn īstẖdmūn al-sḥr	ītnāqṣ ʿdd al-ʾašẖāṣ al-ḏīn īstẖdmūn al-drāǧāt	0
5529	ststmr al-drāǧāt fī lʿb adwār mhmẗ fī mǧtmʿnā	ststmr al-drāǧāt fī lʿb al-ḥīwānāt al-ʾalīfẗ al-mhmẗ fī mǧtmʿnā	1
5530	īhdd al-tlūṯ al-mtzāīd binhāʾ ḥīāẗ al-insān ʿli qmrnā	īhdd al-tlūṯ al-mtzāīd binhāʾ ḥīāẗ al-insān ʿli kūkbnā	0
5531	lā īmkn mqārnẗ al-ṭāʾirẗ mʿ al-qṭār llsrʿẗ	lā īmkn mqārnẗ al-drāǧẗ mʿ al-qṭār llsrʿẗ	0
5532	ālsuʾāl hū mā iḏā kān al-tʿlīm mšklẗ mdi al-ḥīāẗ	ālsuʾāl hū mā iḏā kān al-tʿlīm drāsẗ mdi al-ḥīāẗ	0
5533	īǧb an ītʿrḍ al-ṭlāb lʾalʿāb al-fīdīū.	īǧb an ītʿrḍ al-ṭlāb llʾanšṭẗ al-fnīẗ.	0
5534	ʿmlīẗ tʿlm al-lġẗ al-inǧlīzīẗ hī ʿmlīẗ bnāʾ al-ṭāʾirẗ	ʿmlīẗ tʿlm al-lġẗ al-inǧlīzīẗ hī ʿmlīẗ bnāʾ qūẗ al-irādẗ	0
5535	mlʾat al-dmūʿ ʿīnī amī	mlʾat al-dmūʿ aḏān amī	1
5536	tm lm šml al-ǧnūd mʿ aʿdāʾihm bʿd al-ḥrb	tm lm šml al-ǧnūd bʿāʾilāthm bʿd al-ḥrb	0
5537	mn al-mqrr al-ānthāʾ mn bnāʾ al-kūkb fī ġḍūn ẖms snwāt	ūmn al-mqrr al-ānthāʾ mn bnāʾ al-msrḥ fī ġḍūn ẖms snwāt	0
5538	īǧb tdmīr al-intāǧ mn aǧl tlbīẗ mtṭlbāt al-ʿmlāʾ	īǧb ǧdūlẗ al-intāǧ mn aǧl tlbīẗ mtṭlbāt al-ʿmlāʾ	0
5539	ḏkrnī ruʾīẗ al-ūḥūš msqṭ rʾasī	ḏkrnī ruʾīẗ al-mʿkrūnẗ al-ʾarz mn msqṭ rʾasī	0
5540	tḏkrnī al-ṣūr bʾaīāmī al-ḥīwānāt al-ʾalīfẗ	tḏkrnī al-ṣūr bʾaīām mdrstī	0
5541	lqd aḥdṯ al-ʿlm al-kṯīr mn al-tġyirāt fī ḥīātnā	ǧlb al-ʿlm al-kṯīr mn al-rǧāl al-ẖārqīn fī ḥīātnā	1
5542	ālklb īrqd amām al-šms	ūḍʿ al-klb ġfūًā amām al-bāb	0
5543	nḥn nẖṭṭ lmʿrkẗ līṭālīā hḏā al-ṣīf	nḥn nẖṭṭ llqīām bǧūlẗ fī īṭālīā hḏā al-ṣīf	0
5544	nḥn mnqsmūn fī arāʾinā	nḥn mnqsmūn fī aṣābʿ qdmnā	1
5545	ītḥdṯ tūnī al-lġẗ al-inǧlīzīẗ wylʿb al-mānīā	ītḥdṯ tūnī al-lġẗ al-inǧlīzīẗ wylʿb al-tns	0
5546	ṯlṯ hḏh al-msāḥẗ mġṭāẗ bālġābāt	ṯlṯ hḏh al-mnṭqẗ mġṭāẗ bālmʿkrūnẗ	1
5547	ẖrǧ mn al-mktbẗ ūhū ktāb kbīr tḥt ḏrāʿh	ẖrǧ mn al-mktbẗ , msdsā kbīrā tḥt ḏrāʿh	1
5548	qd īkūn al-ǧmʿ bīn al-tmrīn wālnẓām al-ġḏāʾī hū al-ṭrīqẗ al-ʾakṯr fāʿlīẗ lzīādẗ al-ūzn	qd īkūn al-ǧmʿ bīn al-tmrīn wālnẓām al-ġḏāʾī hū al-ṭrīqẗ al-ʾakṯr fāʿlīẗ lfqdān al-ūzn	0
5549	qādt al-mrʾaẗ al-sīārẗ ili al-ḥdīqẗ	qād al-klb al-sīārẗ ili al-ḥdīqẗ	1
5550	ṭār al-ṭāʾir ili aʿli šǧrẗ al-blūṭ	ṭār al-ẖnzīr ili aʿli šǧrẗ al-blūṭ	1
5551	ʾakl al-rǧl ǧrād al-bḥr	ʾakl al-krknd al-rǧl	1
5552	āẖtbʾa al-ʾarnb fī ġlāfh	āẖtbʾat al-slḥfāẗ fī qšrthā	0
5553	ʾabqt al-nār al-ṭʿām bārdā	ʾabqi al-ṯlǧ al-ṭʿām bārddā	0
5554	ʾaʿṭi al-ṭbīb al-wāǧbāt al-mnzlīẗ	ʾaʿṭi al-mʿlm al-wāǧbāt al-mnzlīẗ	0
5555	ūḍʿ al-ṣbī al-ḥḏāʾ ʿli īdh	ūḍʿ al-ṣbī al-qfāz ʿli īdh	0
5556	ūḍʿ al-dǧāǧẗ 12 bīḍẗ	ūḍʿt al-ṣẖrẗ 12 bīḍẗ	1
5557	qṭʿ al-rǧl al-šǧrẗ bmnšār	qṭʿ al-rǧl al-šǧrẗ bālšūkẗ	1
5558	tm bnāʾ al-ḥẓīrẗ mn al-māʾ	tm bnāʾ al-ḥẓīrẗ mn al-ẖšb	0
5559	ḏhb al-ṣbī llsbāḥẗ fī al-māʾ	ḏhb al-ṣbī llsbāḥẗ fī al-ḥmm	1
5560	āstīqẓt al-ftāẗ fī ūqt mbkr lḥlb al-bqrẗ	āstīqẓt al-ftāẗ fī ūqt mbkr lḥlb al-fʾar	1
5561	rkb al-ṭfl fī al-sīārẗ ili al-mtǧr	qād al-ṭfl sīārẗ ili al-mtǧr	1
5562	qām al-ẖbāz bẖbz ẖbzh fī al-frn	qām al-ẖbāz bẖbz ẖbzh fī al-ṯlāǧẗ	1
5563	ṣnʿ al-nḥl al-ʿsl fī ẖlīthm	ṣnʿ al-nḥl al-zbdẗ fī ẖlīthm	1
5564	ṭār al-rǧl ʿbr al-mḥīṭ ʿli ẓhr al-bǧʿ	ṭār al-rǧl ʿbr al-mḥīṭ ʿli mtn ṭāʾirẗ	0
5565	tmāīlt al-šǧrẗ fī al-rīḥ	rkḍt al-šǧrẗ fī al-rīḥ	1
5566	īlʿq al-qṭ mẖālbh ḥti tṣbḥ nẓīfẗ	ālqṭẗ tlʿq ǧnāḥīhā ḥti tṣbḥ nẓīfẗ	1
5567	āstẖdm al-bwāb mknsẗ ltnẓīf al-ʾarḍ	āstẖdm al-bwāb dlūًā ltnẓīf al-ʾarḍ	1
5568	iḏā knt trīd an tʾakl , īǧb an tṭīr ṭāʾirẗ ūrqīẗ	iḏā knt trīd an tʾakl , īǧb ʿlīk šrāʾ al-ṭʿām	0
5569	ālbndqīẗ hī nūʿ mn al-ʾaslḥẗ	krẗ al-slẗ hī nūʿ mn al-bndqīẗ	1
5570	īʿīš al-nās ʿli al-ʾarḍ	īʿīš al-nās ʿli kūkb al-mrīẖ	1
5571	ālẖšb ġāz	ālʾaksǧīn ġāz	0
5572	tnẓr ili sāʿẗ lmʿrfẗ drǧẗ al-ḥrārẗ	ʾant tnẓr ili sāʿẗ ltẖbr al-ūqt	0
5573	ālbīsbūl mṣnūʿẗ mn al-ǧld	ālbīsbūl mṣnūʿẗ mn al-ḥǧr	1
 5574	tḥb mšāhdẗ al-ʾaflām fī al-mġslẗ al-mḥlīẗ.	tḥb mšāhdẗ al-ʾaflām fī al-msrḥ al-mḥlī.	0
5575	ʾaklt al-dīnāṣūr ltnāūl al-ʿšāʾ	ʾaklt lḥm al-ḍʾan ʿli al-ʿšāʾ	0
5576	ītm astẖdām al-šāḥn lšḥn al-ǧhāz	ītm astẖdām bṭānīẗ lšḥn al-ǧhāz	1
5577	ālsmāʾ zrqāʾ al-lūn	ālsmāʾ ẖḍrāʾ al-lūn	1
5578	āstẖdmt bṭānīẗ ltdfʾī	āstẖdmt al-ʾāīs krīm libqāʾī dāfʾiًā	1
5579	āstẖdm šfrẗ llḥlāqẗ	āstẖdm mmḥāẗ llḥlāqẗ	1
5580	īstẖdm al-ḥbr lġsl al-šʿr	īstẖdm al-šāmbū lġsl al-šʿr	0
5581	āstẖdmt al-ʾasmnt lʾalṣq al-ʾaūrāq	āstẖdmt al-ġrāʾ lʾalṣq al-ʾaūrāq	0
5582	skbt bʿḍ al-rml ʿli ʿīnī	skbt bʿḍ qṭrāt al-ʿīn ʿli ʿīnī	0
5583	ālqṭ īʿṭī ḍūʾ al-šms	tʿṭī al-šms ḍūʾ al-šms	0
5584	ālmṣnʿ bh ḥwāsīb mḥmūlẗ	ālmṣnʿ ʿlīh ūrūd	0
5585	īsāʿdk al-māʾ ʿli al-ǧfāf	mnšfẗ tsāʿdk ʿli al-ǧfāf	0
5586	ʾartdi ḥḏāʾik	ūḍʿ al-qrš ʿli qdmh	1
5587	īmkn an tsāʿdk smāʿāt al-rʾas ʿli al-smʿ bškl ẖāṣ	īmkn an īsāʿdk al-mtḥdṯūn fī al-āstmāʿ bškl ẖāṣ	1
5588	ālbrīānī hū ġḏāʾ īṭālī asāsī	ālmʿkrūnẗ hī ġḏāʾ asāsī īṭālī	0
5589	ġṭi al-ṭāūlẗ bṭāūlẗ mfrš	qm btġṭīẗ al-ṭāūlẗ bǧbl īfrst	1
5590	nḥtāǧ ili krẗ lnlʿb krẗ al-qdm	nḥtāǧ ʿṣā llʿb krẗ al-qdm	1
5591	hnāk ḥāǧẗ lkūkb lftḥ al-bāb	hnāk ḥāǧẗ ili mftāḥ lftḥ al-bāb	0
5592	mtǧr al-ktb ʿli al-qmr	mtǧr al-ktb qāb qūsīn	0
5593	āstẖdmt al-klb llbḥṯ ʿn mrāǧʿẗ	lqd astẖdmt ǧūǧl llbḥṯ ʿn mrāǧʿẗ	0
5594	qām al-bṭhī šrīḥẗ lḥm lṣdīqth al-nbātīẗ.	ṭhī al-ṭāhī bʿḍ al-fāṣūlīā al-ẖḍrāʾ lṣdīqth al-nbātīẗ.	0
5595	ẖǧl id bsbb ẖǧlh.	ʿṭs id lʾanh kān mḥrǧā.	1
5596	ṭʿm al-ūrūd al-ḥmrāʾ rāʾiʿ.	rāʾiḥẗ al-ūrd al-ʾaḥmr rāʾiʿẗ.	0
5597	ṣlṣẗ al-bīstū ẖḍrāʾ lʾanhā tḥtwy ʿli al-rīḥān.	ṣlṣẗ al-bīstū ḥmrāʾ lʾanhā tḥtwy ʿli al-rīḥān.	1
5598	kān būl kmānnā mtdrbbā bškl klāsīkī.	kān būl ʿāzf kmān mdrb bškl klāsīkī.	0
5599	ūqʿt hūlī fī ṣf rqṣ ltʿlm al-rqṣ.	ūqʿt hūlī fī ṣf ḥsāb al-tfāḍl wāltkāml ltʿlm al-rqṣ.	1
5600	ḥḍrt ḥfl zfāf ǧīn , wālʾān sʾaḥḍr ǧnāzẗ ǧīn.	ḥḍrt ǧnāzẗ ǧīn , wālʾān sʾaḥḍr zfāf ǧīn.	1
5601	hbṭ al-īʿsūb ʿli al-zhrẗ.	hbṭ tnīn kīmūdū ʿli al-zhrẗ.	1
5602	šnġhāī hī mdīnẗ kbīrẗ fī al-ṣīn.	sāntā mūnīkā hī mdīnẗ fī al-ṣīn.	1
5603	tḥlq al-qṭṭ al-kfūf ltbqi nẓīfẗ.	tlʿq al-qṭṭ mẖālbhā llḥfāẓ ʿli nẓāfthā.	0
5604	ālrǧāl al-stẗ hm abāʾ wyǧūn.	ālrǧāl al-stẗ hm iẖūẗ wyǧūn.	0
5605	lqd astbdlt hdīẗ ʿīd mīlād mānī bhdīẗ aẖri.	lqd astbdlt ʿīd mīlād mānī bʾāẖr.	1
5606	qṭtī tḥb akl al-ḥšrāt.	qṭtī tḥb an tʾaklhā al-ḥšrāt.	1
5607	ūǧd al-īsūn an al-bālīh ṣʿb llġāīẗ.	ūǧd al-bālīh an al-īsūn kānt ṣʿbẗ llġāīẗ.	1
5608	īǧb ʿlīk iḥḍār mtǧrk al-ẖāṣ ili akīās al-bqālẗ.	īǧb ʿlīk iḥḍār ḥqāʾibk al-ẖāṣẗ ili mḥl al-bqālẗ.	0
5609	mn al-ṣʿb al-mšī mʿ iṣbʿ qdm mksūr.	mn al-ṣʿb an tktb biṣbʿ mksūr.	1
5610	qṭtī tḥb al-nās māʿdā al-ʾaṭbāʾ al-bīṭryin.	qṭtī tḥb al-nās māʿdā al-klāb.	1
5611	lā tḍʿ ūqūd al-dīzl fī mḥrk dīzl.	lā tḍʿ ūqūd al-bnzīn fī mḥrk dīzl.	0
5612	hnāk mrīmān , ūhmā am mrīm ūmrīm.	hnāk mrīm wāḥdẗ fqṭ , ūhī am mrīm.	1
5613	ālmrāhqūn īrtdūn qmṣān mṣbūġẗ brbṭẗ ʿnq.	ālmrāhqūn al-mṣbūġūn īrtdūn qmṣān.	1
5614	ālqrūd tḥb al-mūz akṯr mn qrdẗ al-bābūn.	ālmūz mṯl al-qrūd akṯr mn qrdẗ al-bābūn.	1
5615	āstʾaǧr al-mālk al-īǧār mn al-mstʾaǧr.	āstʾaǧr al-mālk al-īǧār llmstʾaǧr.	0
5616	in artdāʾ aḏān mīkī māūs lā īǧʿl al-šẖṣ fʾarrā.	ālfʾar al-ḏī īrtdī aḏān mīkī māūs lm īʿd fʾarā	1
5617	ālkrẗ ldīhā krẗ fī al-krẗ.	kān ldi bīl krẗ fī al-krẗ.	0
5618	ʿli al-fṭūr , aḥb akl bīḍẗ mslūqẗ ʿli al-ẖbz al-mḥmṣ.	ltnāūl al-fṭūr , aḥb an akl ḥḏāʾ mslūq ʿli al-ẖbz al-mḥmṣ.	1
5619	īǧb ʿli mālkī al-klāb ibqāʾ klābhm ʿli ṭāūlāt al-mṭbẖ fī al-ʾamākn al-ʿāmẗ.	īǧb ʿli aṣḥāb al-klāb ibqāʾ klābhm ʿli al-mqāūd fī al-ʾamākn al-ʿāmẗ.	0
5620	īǧb ʿli al-ǧmīʿ mmārsẗ al-rīāḍẗ kl īūm.	īǧb ʿli al-ǧmīʿ al-ḥṣūl ʿli ldġẗ nḥlẗ kl īūm.	1
5621	wāldī īḥb al-qīādẗ bīnmā īʿzf al-ǧītār.	wāldī īḥb al-ġnāʾ bīnmā īʿzf al-ǧītār.	0
5622	bʿd ʿām mn blūġ aẖī al-ʿšrīn , blġ 21.	bʿd ʿām mn blūġ aẖī sn al-ʾarbʿīn , blġ 21 ʿāmmā.	1
5623	klmā tʿlmt akṯr , aṣbḥt akṯr ḏkāʾً.	klmā tnāūlt ṭʿāmmā akṯr , aṣbḥt akṯr ḏkāʾً.	1
5624	tqḍī al-ksīs sāʿẗ wāḥdẗ īūmīًā tḥt al-šms lǧʿl bšrthā tsmr.	tqḍī al-ksīs sāʿẗ wāḥdẗ īūmīًā fī al-ḥmām lǧʿl bšrthā tsmr.	1
5625	tqḍī al-ksīs sāʿẗ wāḥdẗ īūmīًā tḥt al-šms lǧʿl bšrthā tsmr.	tqḍī al-ksīs 24 sāʿẗ īūmīًā fī al-šms lǧʿl bšrthā tsmr.	1
5626	šftā amī bāllūn al-ūrdī bdūn aḥmr al-šfāh.	šftī wāldtī zrqāʾ bdūn aḥmr šfāh.	1
5627	šʿr amī rmādī , ilā iḏā ṣbġth bāllūn al-bnī.	ʿīūn amī rmādīẗ , ilā iḏā mātt bnīẗ.	1
5628	ldīnā snāǧb rmādīẗ tʿīš fī fnāʾinā al-ẖlfī.	ldīnā dīnāṣūrāt rmādīẗ tʿīš fī fnāʾinā al-ẖlfī.	1
5629	frū al-dbbẗ ūrdīẗ al-lūn lʾanhā tʾakl al-ṭʿām al-ūrdī.	rīš ṭāʾir al-nḥām ūrdī al-lūn lʾanhm īʾaklūn al-ṭʿām al-ūrdī.	0
5630	līqāf drāǧtī , aqūm bḍġṭ al-frāml ʿli al-mqāūd.	līqāf sīārtī , aḍġṭ ʿli al-mkābḥ ʿli al-mqāūd.	1
5631	iḏā aṣṭdmt sīārẗ bmšāẗ , fqd ītʾaḏi al-mšāẗ.	iḏā aṣṭdmt sīārẗ bmšāẗ , fqd īḥṣl al-mšāẗ ʿli ṯʾālīl.	1
5632	lʿāʾiltī arbʿẗ afrād: amī ūʾabī ūʾaẖī ūʾanā.	lʿāʾiltī arbʿẗ afrād: amī ūʾabī ūʾanā.	1
5633	īmkn an īsqṭ al-mṭr fī al-nhār aū fī al-līl.	īmkn an tšrq al-šms fī al-nhār aū fī al-līl.	1
5634	iḏā ẖrǧt mn al-mdīnẗ lmdẗ asbūʿ , īǧb ʿli šẖṣ mā iṭʿām ḥīwānātk al-ʾalīfẗ aṯnāʾ ġīābk.	iḏā ẖrǧt mn al-mdīnẗ lmdẗ asbūʿ , flā īǧb ʿli aḥd iṭʿām ḥīwānātk al-ʾalīfẗ aṯnāʾ ġīābk.	1
5635	ʾanā ūʾaẖtī īmknnā artdāʾ anūf bʿḍnā al-bʿḍ.	ʾanā ūʾaẖtī īmknnā artdāʾ mlābs bʿḍnā al-bʿḍ.	0
5636	kṯīrā mā artdī sīārẗ zrqāʾ ʿli rʾasī.	ġālbbā mā artdī qbʿẗ zrqāʾ ʿli rʾasī.	0
5637	ʾaẖi aẖrǧ mīrāndā fī mūʿd mʿ kūkb nbtūn.	ʾaẖi aẖrǧ mīrāndā fī mūʿd llʾaflām.	0
5638	īmkn fqṭ llʾamhāt al-ṯdyiāt ṣnʿ al-ḥlīb lʾaṭfālhn.	īmkn llʾamhāt fqṭ al-ḥšrāt ṣnʿ al-ḥlīb lʾaṭfālhn.	1
5639	wāldī ldīh šʿr bnī mǧʿd qṣīr.	wāldī ldīh mql al-ʿīūn al-bnī al-mǧʿd al-qṣīr.	1
5640	kān al-īūm al-ḏī ūld fīh aẖī al-rḍīʿ īūmmā ẖāṣًā ǧddā!	kān al-īūm al-ḏī ūld fīh aẖī al-rḍīʿ al-ǧdīd kmā kān fī kl īūm.	1
5641	iḏā knt lā tʾakl aī šīʾ ṭwāl al-īūm , fhḏā īsmi al-ʾakl bsrʿẗ.	iḏā lm tʾakl aī šīʾ ṭwāl al-īūm , fhḏā īsmi al-ṣūm.	0
5642	iḏā knt mdʿūًā lmqāblẗ al-mlkẗ , fmn al-mtūqʿ an trtdī mlābs anīqẗ.	iḏā knt mdʿūًā lmqāblẗ al-mlkẗ , fmn al-mtūqʿ an trtdī mlābs mtwāḍʿẗ.	1
5643	ǧmīʿ al-ʾarānb al-ṣġīrẗ ldīhā mūmīāwāt kānt arnbbā.	kān lǧmīʿ al-ḥmīr al-ūḥšīẗ al-ṣġīrẗ mūmīāwāt kānt arnbbā.	1
5644	lā tūǧd mdn fī qārẗ aūrūbā.	lā tūǧd mdn fī qārẗ antārktīkā.	0
5645	tṭīr bʿḍ al-sḥālī mʾiāt al-ʾamīāl kl ʿām.	tṭīr bʿḍ al-ṭīūr mʾiāt al-ʾamīāl kl ʿām.	0
5646	iḏā knt tstmtʿ bālǧāmʿẗ kšẖṣ bālġ , fqd trġb fī al-ḏhāb ili al-mdrsẗ kṭfl.	iḏā knt tstmtʿ bālmdrsẗ kṭfl , fqd trġb fī al-āltḥāq bālǧāmʿẗ kšẖṣ bālġ.	0
5647	mn al-ṭbīʿī tmāmmā an īsqṭ al-bālġūn.	mn al-ṭbīʿī tmāmmā an īsqṭ al-ʾaṭfāl.	0
5648	fī īūm mtǧmd , sīṣbḥ kʾas mn al-ǧlīd qrībbā kūbbā mn al-māʾ.	fī īūm ḥār , sīṣbḥ kʾas mn al-ǧlīd qrībbā kūbbā mn al-māʾ.	0
5649	ʾams lā īmkn tġyirh , lʾanh ḥdṯ bālfʿl.	ġdā lā īmkn tġyirh , lʾanh ḥdṯ bālfʿl.	1
5650	līndā akbr mn ǧdthā flūrā bst snwāt.	līndā akbr mn abnẗ aẖthā flūrā bstẗ aʿwām.	0
5651	ūrṯ dānīāl nẓrāth al-ǧīdẗ ʿn wāldh.	ūrṯ dānīāl nẓrāth al-ǧīdẗ mn zūǧ amh.	1
5652	ḍrb ʿmī krẗ al-ǧūlf fī al-ḥfrẗ bmḍrb bīsbūl mḥẓūẓ ..	ḍrb ʿmī krẗ al-ǧūlf fī al-ḥfrẗ mʿ nādīh al-mḥẓūẓ llǧūlf.	0
5653	lā īūǧd mā īkfī mn al-māʾ fī al-fḍāʾ al-ẖārǧī ḥti ntnfs.	lā īūǧd mā īkfī mn al-ʾaksǧīn fī al-fḍāʾ al-ẖārǧī ḥti ntnfs.	0
5654	lkī tṣbḥ mhndssā , īǧb an tkūn ǧīddā fī al-rīāḍīāt.	ltṣbḥ mšǧʿًā , īǧb an tkūn ǧīddā fī al-rīāḍīāt.	1
5655	qāmt al-ʾam btẖzīn al-ʾaṭbāq fī akwām mrtbẗ ʿli al-rfūf.	qāmt al-ʾam btẖzīn al-ḥīwānāt al-ʾalīfẗ fī akwām anīqẗ ʿli al-rfūf.	1
5656	lsūʾ al-ḥẓ , anqrḍt al-māmūṯ al-ṣūfī mnḏ al-āf al-snīn.	llʾasf , anqrḍt al-ʾarānb mnḏ al-āf al-snīn.	1
5657	lm ari ṯʿbānnā bʾarǧl mn qbl.	lm ari qṭ dǧāǧẗ bʾarǧl mn qbl.	1
5658	mn al-ṣʿb ǧddā al-ḏhāb ili al-šāṭʾi ūʿdm al-ḥṣūl ʿli rmāl	mn al-ṣʿb ǧddā al-ḏhāb ili al-ʾaūbrā ūlīs al-ḥṣūl ʿli rmlī.	1
5659	kānt qrʿẗ ʿmtī ʿādīẗ ǧddā , ūfāzt bǧāʾizẗ.	kānt qrʿẗ ʿmtī ḍẖmẗ ǧddā , ūfāzt bǧāʾizẗ.	0
5660	sʾalt al-mʿlmẗ al-mʿnīẗ al-ṭālbẗ iḏā šʿrt anhā bẖīr.	sʾalt al-mʿlmẗ ġīr al-mhtmẗ al-ṭālbẗ iḏā šʿrt anhā bẖīr.	1
5661	qdm al-rǧl al-ʿǧūz al-ḥkīm nṣīḥẗ ḥmqāʾ llšbāb al-ḥmqi.	qdm al-rǧl al-ḥkīm nṣīḥẗ ḥkīmẗ llšbāb al-ḥmqi.	0
5662	stbdū sẖīfẗ trtdī ṯūb al-krẗ fī ḥmām al-sbāḥẗ.	stbdū sẖīfẗ trtdī ṯūb al-sbāḥẗ fī ḥmām al-sbāḥẗ.	1
5663	ʾaḥrqt al-bītzā al-sāẖnẗ fm al-ṣbī.	ʾaḥrqt al-bītzā al-bārdẗ fm al-ṣbī.	1
5664	īmkn lbʿḍ al-nās al-tḥdṯ bʾakṯr mn lġẗ.	lā īmkn lʾaḥd an ītḥdṯ akṯr mn lġẗ.	1
5665	bdʾat al-ṭflẗ bālbkāʾ lʾanhā lm tstṭʿ ruʾīẗ wāldthā.	bdʾat al-ṭflẗ bālbkāʾ lʾanhā lm tstṭʿ ruʾīẗ drāǧthā al-nārīẗ.	1
5666	tmni līnī an lā tḍṭr aẖth llḏhāb ili kl mkān mʿh.	tmni līnī an lā īḍṭr rʾash llḏhāb ili kl mkān mʿh.	1
5667	sẖr al-ʾaṭfāl al-ʾāẖrūn mn ǧūn bsbb asmh.	sẖr al-ʾaṭfāl al-ʾāẖrūn mn Bonkers bsbb asmh.	0
5668	ġālbbā mā īʿrf al-ʾaṭfāl al-ḏīn īʿīšūn fī al-ǧzr kīfīẗ al-sbāḥẗ.	nādrrā mā īʿrf al-ʾaṭfāl al-ḏīn īʿīšūn fī al-ǧzr kīfīẗ al-sbāḥẗ.	1
5669	kānt qṭẗ māmā fẖūrẗ ǧddā bǧrāʾhā.	kānt al-qṭẗ māmā fẖūrẗ bqṭṭhā al-ṣġīrẗ.	0
5670	iḏā sʾalk aḥdhm suʾālāً lā tʿrfh , fqṭ ql anā bṭāṭs	iḏā sʾalk aḥdhm suʾālāً lā tʿrfh , fqṭ ql lst mtʾakddā.	0
5671	smīt al-mrʾaẗ abnāʾihā dīfīd ūfrīd ūbūls.	smīt al-sīdẗ bnāthā dīfīd ūfrīd ūbūls.	1
5672	qdmt lnā wāldtī aīs krīm al-dǧāǧ.	qdmt lnā wāldtī fṭāʾir ūʿāʾ al-dǧāǧ.	0
5673	iḏā ẖsr aẖī al-rhān , fsʾaṭlb mnh an īqūm bkl wāǧbātī.	iḏā fāz aẖī bālrhān , fsʾaṭlb mnh al-qīām bkl al-ʾaʿmāl.	1
5674	kān ṭflī īʿānī mn ḥsāsīẗ tǧāh qṭtī , lḏlk qrrt al-tẖlī ʿn al-ṭfl.	kān ṭflī īʿānī mn ḥsāsīẗ tǧāh qṭtī , lḏlk qrrt al-tẖlī ʿn al-qṭẗ.	0
5675	iḏā knt ẖādʿًā mʿī , fsʾakūn mn al-ġbāʾ an aṯq bk.	iḏā knt ṣādqًā mʿī , fsʾakūn mn al-ġbāʾ an aṯq bk.	1
5676	līs kl mn hū mn kndā ītzlǧ.	līs kl mn hū mn kndā ītnfs.	1
5677	bʿḍ al-qrūd lhā ḏīūl , wālbʿḍ al-ʾāẖr lā.	bʿḍ al-qrūd lhā ʿīūn , wālbʿḍ al-ʾāẖr lā.	1
5678	īfūz sbāqāt ʿrbẗ al-īd mn qbl rkūb drāǧth asrʿ.	īfūz bsbāq al-drāǧāt mn qbl rkūb drāǧth asrʿ.	0
5679	ḏāt mrẗ ḏhbt ṭwāl al-īūm dūn an atnfs.	ḏāt mrẗ ḏhbt ṭwāl al-īūm dūn akl.	0
5680	lā ītm nṭq aḥd fī al-tfāḍl wāltkāml	ītm nṭq al-ʾaḥrf fī al-īābān	0
5681	lqd tʿrḍ mʿẓm al-nās fī al-īābān lzlzāl.	lqd ʿāni mʿẓm al-nās fī al-īābān mn nūbẗ qlbīẗ.	1
5682	iḏā knt trīd an tri al-ḥmīr al-ūḥšīẗ fī al-brīẗ , īǧb an tḏhb ili afrīqīā.	iḏā knt trīd ruʾīẗ ṭīūr al-bṭrīq fī al-brīẗ , fʿlīk al-ḏhāb ili ifrīqīā.	1
